Sentiment,News Headline
neutral,All depends on financing .
neutral,The customer is cooperative retailer Osuuskauppa Suur-Savo .
neutral,`` Lemminkainen Talo Oy 's Lahti office is a significant logistics and business premises constructor .
neutral,Juha Haapakoski will continue as Editor-in-Chief with budget responsibility also with the new publisher .
neutral,Finnish paper maker UPM-Kymmene Corp. on Monday announced the sale of its wrapping unit Walki Wisa to the CapMan investment group in a move to further concentrate on its core business .
positive,"EUR928 ,000 in Q1 2010 6 May 2010 - Finnish textile and clothing design company Marimekko Oyj ( HEL : MMO1V ) said today its net profit rose to EUR928 ,000 in the first quarter of 2010 from EUR13 ,000 in the corresponding period a year earlier ."
neutral,"In 2008 , it generated net sales of EUR 9.3 million USD 13.1 m ."
neutral,Quality chargers under CHARGZ brand are sold in selected retail stores and other sales locations world-wide .
negative,"In October , UPM reported a third-quarter net loss of euro86 million $ 110 million compared with a net profit of euro120 million in 2007 ."
positive,"3 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said yesterday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal ."
neutral,Finnish Bank of +_land will launch its long-term pension savings account at the beginning of June 2010 .
negative,Net sales decreased to EUR 91.6 mn from EUR 109mn in the corresponding period in 2005 .
neutral,"BAVARIA Industriekapital AG 's 2006 revenues were EUR 333 million , with an EBITDA of EUR 51 million ."
positive,The groups 's turnover for the full fiscal year is expected to show a slight increase from the previous fiscal year .
neutral,"The opportunity will be available only for few employees , however ."
positive,"Overall , 50 percent of respondents were confident about their security when banking online ."
neutral,"Finnish real estate company Sponda Oyj said on April 11 , 2008 it would build Vuosaari Harbour Service Center at the Port of Helsinki ."
neutral,The value of the order is USD 2.2 mn .
neutral,Halonen 's office acknowledged receiving the letter but declined comment .
positive,"The service is intended to allow the people of thirteen Mediterranean countries to reach the Baltic more rapidly , with a single carrier ."
neutral,"Rinkuskiai 's beer sales fell by 6.5 per cent to 4.16 million litres , while Kauno Alus ' beer sales jumped by 6.9 per cent to 2.48 million litres ."
positive,"The company 's scheduled traffic , measured in revenue passenger kilometres RPK , grew by just over 2 % and nearly 3 % more passengers were carried on scheduled flights than in February 2009 ."
negative,"26 October 2010 - Finnish environmental management company Lassila & Tikanoja Oyj ( HEL : LAT1V ) , or L&T , said today its net profit declined to EUR20 .9 m for the first nine months of 2010 from EUR27 .6 m for the same period a year earlier ."
positive,"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share ."
positive,"There are companies , which are ready to invest their own funds in this deal such as Rostelecom RTS : RTKM ."
neutral,The terms and conditions of the year 2003 stock option scheme were published in a stock exchange release on 31 March 2003 .
neutral,The devices also contains Finnair 's own application for compiling customer feed-back and ideas for product development .
positive,"in Q1 '10 19 April 2010 - Finnish forest machinery and equipment maker Ponsse Oyj HEL : PON1V said today that it expects to swing to a net profit of some EUR6 .3 m in the first quarter of 2010 , from an EUR9 .6 m loss a year earlier ."
neutral,This allows devices such as mobile phones to become a few millimetres thinner .
positive,"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales ."
positive,A realignment of interests in the sector is clearly under way .
neutral,"` It is a testament to the quality of our LTE solution and our commitment to the Japanese market ' , he added ."
positive,"( ADP News ) - Sep 30 , 2008 - Finnish security and privacy software solutions developer Stonesoft Oyj said today that it won a USD 1.9 million ( EUR 1.3 m ) order to deliver its StoneGate network security products to an unnamed Russian te"
neutral,"He does not believe , however , that HKScan or Atria will start to use imported meat as Finnish consumers prefer domestic products ."
positive,"MANAVIGATOR-September 7 , 2010-Kemira unveils Indian JV with IVRCL Finnish chemicals group Kemira ( HEL : KRA1V ) on Tuesday announced it has inked a deal to form a joint venture in India with local construction firm IVRCL Infrastructure and Projects Ltd ( BOM :530773 ) ."
negative,More than a third of the original participants dropped out due to nausea and other side effects .
positive,"`` The second quarter of 2010 was the firstquarter with growth in net sales since the third quarter of2008 , '' said Magnus Rosen , Ramirent CEO ."
neutral,"EQT has completed its exit from Salcomp , a Finnish company that makes mobile phone chargers , by selling its remaining stake to Swedish investment group Nordstjernan for about ( EURO ) 35 million ( $ 47 million ) ."
negative,Operating profit was EUR 1.6 mn in 2005 compared to EUR 5.9 mn in 2004 .
neutral,Danske Bank is Denmark 's largest bank with 3.5 million customers .
positive,Atria Group is a leading Scandinavian meat products group .
neutral,"Cohen & Steers , Inc. : 5 534 530 shares representing 4.985 % of the share capital and voting rights ."
neutral,Pertti Ervi is independent from the Company and its major shareholders .
negative,Vaisala 's net profit for the third quarter of 2007 dropped to 3.0 mln euro ( $ 4.3 mln ) from 6.8 mln euro ( $ 9.8 mln ) for the same period of 2006 .
neutral,The company pledged that the new software would render e-mails and other documents much as they appear on desktop computers .
neutral,"The most popular paper by far was Kesko 's loyal customer magazine Pirkka with 2,462,000 readers ."
positive,"BasWare 's CEO Ilkka Sihvo comments in conjunction with the Interim Report : `` As a whole , BasWare succeeded well in the second quarter of 2007 ."
neutral,"In volume , the focus is already outside Finland , as 60 % of the group 's products are made in Poland and the Baltic countries ."
neutral,"Master of Mayawas jointly developed by Nokia Siemens Networks and UFA - FremantleMedia , and will be actively advertised by Maxis in the end of May 2007 ."
neutral,"In the video above Marimekko 's design manager , Noora Niiininoski , explains that the brands are a natural fit for each other because they both have a timeless style ."
positive,EBIT excluding non-recurring items was estimated to increase from 2009 .
neutral,Basware Einvoices Oy will be merged into the parent company during the present fiscal period .
neutral,"Under the rental agreement , Stockmann was committed to invest in the building of a bridge over the Gogol Street or build an underground tunnel for crossing the street by 2004 ."
positive,"In accordance with our strategy , we strengthened our local presence by establishing a representative office in South Africa in October ."
negative,"Group EBIT for the first half was EUR13 .6 m US$ 17.8 m , falling short of the EUR22 .5 m it posted for the same period of 2009 ."
neutral,The company said shareholders will be able to vote on the agreement at an EGM scheduled for later this month .
positive,The main strength of the cooperation project lies in merging the know-how of two large companies .
neutral,"Founded in 1649 , Fiskars has over 360 years of product quality excellence and is Finland 's oldest company ."
neutral,"The devices would be launched in the Chinese market in late 2006 , the company said ."
positive,"Finnair PLC carried a record 8.8 million passengers in 2006 , an increase of 3.5 percent on the previous year , the Finnish national carrier reported Tuesday ."
positive,"In the end of 2006 , the number of outlets will rise to 60-70 ."
positive,"Sales VAT inclusive expanded by 19 percent , to 351 million euros ."
negative,"Last year , UPM cut production , closed mills in Finland and slashed 700 jobs ."
neutral,"The device can also be used for theft protection and positioning of vehicles , boats and other assets ."
neutral,We do hope that this will in the future turn out to be a novel method for the prevention of alcohol and tobacco smoking associated oral cancers .
neutral,Around 250 of these reductions will be implemented through pension arrangements .
positive,"ST. PETERSBURG , Oct 14 ( PRIME-TASS ) -- Finnish tire producer Nokian Tyres plans to invest about 50 million euros in the expansion of its tire plant in the city of Vsevolozhsk in Russia 's Leningrad Region in 2011 , the company 's President Kim Gran told reporters Thursday ."
positive,`` We are proud to contribute to the creation of a world-class airport facility with KONE 's innovative People Flow TM solutions .
positive,"Outokumpu of Finland , stainless steel manufacturer , plans to enter into a supply agreement with the Indian Railways ."
positive,"In China , Finnish Kone that provides elevators , escalators , and solutions for modernisation and maintenance will build 342 escalators that will be installed in a high-speed railway section between Beijing and Shanghai in a 1.5 years ' time ."
positive,"Earnings per share EPS amounted to EUR0 .03 , up from the loss of EUR0 .08 ."
neutral,The new units should become one of the largest ones within the company .
neutral,"Estonia 's Agriculture Minister Helir-Valdor Seeder is in Finland on a two-day visit , in the course of which he will meet with his Finnish counterpart Sirkka-Liisa Anttila ."
positive,The aim is to convert the plants into flexible manufacturers of new and technologically demanding products .
negative,"Operating profit totalled EUR 30.2 mn , down from EUR 43.8 mn a year earlier ."
neutral,Storengy is the GDF SUEZ company that is dedicated to the underground storage of natural gas .
positive,We look forward to helping the company develop its operational services and further digitalize its services for its customers . ''
neutral,The employee negotiations are to address measures needed to adjust the operations to the present production situation .
negative,Operating loss amounted to EUR 0.7 mn compared to a profit of EUR 0.8 mn in the second quarter of 2005 .
negative,Finnish plumbing and heating systems supplier Uponor is temporarily laying off its whole workforce in Finland for two weeks as of mid-July 2009 .
positive,"Sales improved to SEK 1,553 mn , compared with SEK 1,408 mn ."
neutral,"s business sectors are building construction , infrastructure construction and technical building services ."
positive,This acquisition supports our strategy of being close to our customers all around the world offering both equipment and related services .
neutral,The Swedish player became majority owner of UCell in mid-2007 .
negative,"The group 's operating loss was EUR 0.8 mn , down from a profit of EUR 2.5 mn in 2004 ."
neutral,The implementation of the deal is subject to the approval by the Finnish Competition Authority .
neutral,Construction is expected to be completed in the summer of 2011 .
neutral,He is a member of the Board of numerous com-panies and a shareholder of the Boardman Ltd board specialist net-work .
negative,Scanfil issued a profit warning on 10 April 2006 .
neutral,The Finnish company Stockmann has signed the contract with the company Technopolis .
neutral,"PA ) , JPMorgan Chase and Co ( NYSE : JPM ) and Pohjoa Bank are joint lead-managers on the senior , unsecured deal ."
neutral,RSA 's shares closed at 156.9 p at the time of going to press .
positive,The optimization of the steel components heating process will reduce the energy consumption .
positive,"Xerox and Stora Enso have teamed up to tailor the iGen3 to the short-run , on-demand packaging market ."
negative,"In Finland , the city of Forssa has said it will not pay compensation to food industry companies HK Ruokatalo and Atria for the lye leak into tap water that occurred in March 2008 ."
neutral,High winds also toppled three semi-trailers on I-15 north of Barstow .
neutral,"Finnish diversified holding company Aspo Oyj said on September 8 , 2008 that it will sell the Finnish tape business of its Kaukomarkkinat unit to local Oy Telpak Ab ."
positive,"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year ."
neutral,"ALEXANDRIA , Va. , Dec. 17 -- Reijo Salovaara , Nastola , Finland , has developed a veneer cutter ."
neutral,"It makes a wide range of mobile devices with services and software that enable people to experience music , navigation , video , television , imaging , games and business mobility ."
neutral,The company then said it will focus its resources on clinical research .
neutral,"Under the plan , which CSES worked out together with Public Policy Management Institute ( PPMI ) and other partners , buildings with a total area of 10,000 square meters should be built on the territory in the first phase ."
neutral,"The purchase of sites worth 300 million in the Thames Gateway will provide more than 1,200 homes ."
neutral,"The shares subscribed for under the stock options were registered in the Trade Register on 20 January 2011 , as of which date the new shares will establish shareholder rights ."
positive,ABB Deutsche Bank upgraded its recommendation on Swiss-Swedish engineering group ABB Ltd. to ` Buy ' from ` Hold ' .
neutral,Terms of the acquisition were not disclosed .
neutral,The purchase price was not disclosed .
positive,"Citigroup , Inc ( NYSE : C ) has announced that its Global Transaction Services ( GTS ) business has been awarded a new mandate by Finland-based Pohjola Bank Group ."
neutral,The combined value of the planned investments is about EUR 30mn .
neutral,Approval by shareholders of Cencorp in accordance with Finnish law .
positive,The ` buy ' recommendation was reiterated .
neutral,"Fortum holds 90.2 pct of the share capital and 94.4 pct of the voting rights in the company , which it now plans to delist from the Warsaw Stock Exchange ."
neutral,The GyPSii mobile social networking application is available in China with both Chinese and English language support .
negative,Earnings per share ( EPS ) amounted to a loss of EUR0 .05 .
neutral,"Sanoma Learning & Literature , offering print and digital learning materials , is present in eleven countries ."
neutral,( A spokesperson told WWD to expect a 50-50 mix of clothing and home decor . )
neutral,"Nokia will continue to invest in future development of Qt , and Digia will be responsible for commercial licensing and services business ."
neutral,"The total donation amount is EUR 1,115,000 ."
neutral,A CUT ABOVE Bring the outdoors in with these birch-branch coasters .
negative,down to EUR5 .9 m H1 '09 3 August 2009 - Finnish media group Ilkka-Yhtyma Oyj ( HEL : ILK2S ) said today its net profit fell 45 % on the year to EUR5 .9 m in the first half of 2009 .
neutral,The fixed acquisition price amounts to NOK 70 ( approximately EUR 8.7 ) million and additional price NOK 15 ( EUR 1.8 ) million at maximum .
neutral,15 November 2010 - Finnish energy company Fortum Oyj HEL : FUM1V said today it and partners started negotiations to establish a new operating model for energy supply in the Turku region of western Finland .
neutral,"Founded in 1994 , the company uses a six-step , time-focused , collaborative project approach to improve financial institutions ' revenue streams ."
positive,Finnish construction group Lemmink+�inen has been awarded two road building contracts by the Lithuanian transport administration .
neutral,"Elsewhere , the tendency is towards more developed packaging than before ."
positive,"In the first nine months of 2010 , the company 's net loss narrowed to EUR415 ,000 from EUR7 .4 m for the corresponding period of 2009 ."
positive,Finnish Cargotec has been awarded a significant order for a total of 292 Hiab loader cranes by BAE Systems in the US .
neutral,Nokia is also negotiating the product portfolio of the new company .
negative,"In Q1 of 2009 , the company 's result before taxes from continuing operations , excluding non-recurring items , totalled EUR -0.4 mn , compared to EUR -0.1 mn in the corresponding period in 2008 ."
neutral,"Unlisted British Biologicals makes B - and D - proteins , and other disease-specific supplements that cover diabetes , hepatitis , asthma and other cardiovascular ailments ."
neutral,"This order , when delivered , will bring the total output of electricity in Italy generated by Wartsila equipment to more than 1,300 MW ."
neutral,"ALEXANDRIA , Va. , March 15 -- Jaakko Vilo of Turku , Finland , has developed a panel press ."
neutral,"AHMS will also offer Hotel and Hotel Project Consultancy , Management Services , Brand Franchise , Training and Sales and Marketing services on a pan-India basis ."
negative,"In Finland , the Bank of +_land reports its operating profit fell to EUR 6.1 mn in the second quarter of 2008 from EUR 7.5 mn in the second quarter of 2007 ."
positive,TELE2 Affarsvarlden gave a `` buy '' recommendation on mobile operator Tele2 AB and a share price target of 142 crowns ( $ 23.54 - 15.19 euro ) .
neutral,"Jensen , Njastein and Mike Critch , the head of Dovre North America business unit , will report to Toivola ."
neutral,"According to Olvi , the company is already negotiating new agreements ."
negative,"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported ."
neutral,"PCS Digital Guatemala has been using Tecnomen 's prepaid system in Telgua fixed networks as well as code division multiple access , or CDMA , and global system for mobile communication , or GSM , since 2003 ."
neutral,"Aldata Solution , a global company engaged in supplier to consumer business process optimization , has announced the details of its Dollars for Dinosaurs program ."
neutral,Okmetic 's silicon wafers are part of a further processing chain that produces end products that improve human interaction and quality of life .
neutral,"One of the headboxes will be equipped with a modern consistency control system to ensure cross machine profile of the plasterboard , company said in a statement received by Lesprom Network ."
positive,Major Order in India Comptel Corporation has received a significant long-term order for mediation and provisioning solutions being used by a leading operator in India .
neutral,The beers differ slightly from mainstream beers .
positive,Finnish OKO bank has signed a cooperation agreement with Raiffeisen concerning Finnish companies ' investments in Russia .
positive,"`` After the share purchase is completed , financing will also be provided to expand Latvia 's broadband infrastructure and to develop new areas of business , including acquisitions of other companies . ''"
neutral,The company will propose a dividend of EUR0 .12 per share for 2008 .
negative,"Kiosk and cinema operations have suffered , in particular ."
negative,"Nordic banks have already had to write off sizable loans in Latvia , with Swedbank , Nordea , DnB NOR and SEB reporting combined losses in excess of $ 1.35 billion in the period 2007 to 2010 against a backdrop of near economic meltdown in Latvia ."
positive,"The decision to sell a share in Lenenergo was reached in line with Fortum 's strategic plans to invest mainly in generating assets in Russia , while Lenenergo is a grid company , the press release said ."
neutral,"` Nordea 's definitely too big for Sampo to acquire , ' said an analyst ` But Sampo would appear to have an agenda for Nordea ahead of the privatisation ."
positive,"The three year turn-around program is expected to ensure Salomon 's future competitiveness , the company said ."
neutral,"The company is headquartered in Sievi , Finland , and is listed on the Nordic Exchange in Helsinki ."
neutral,The divested activities had net sales of EUR 145.1 million in 2009 and an operating profit of EUR 8.9 million .
positive,Return on equity stood at 18.3 % compared to 15.4 % in the third quarter of 2005 .
neutral,"In June it sold a 30 percent stake to Nordstjernan , and the investment group has now taken up the option to acquire EQT 's remaining shares ."
positive,"Recovery has been evident in the liquid handling business , particularly in areas outside Europe and primarily in North America and Asia ."
neutral,"After the acquisition , Basware 's preliminary pro forma net sales for 2005 amount to EUR 52.6 mn , and preliminary pro forma operating profit amounts to EUR 7.1 mn ."
neutral,The plant would use palm oil certified by the Roundtable on Sustainable Palm Oil ( RSPO ) .
positive,"Finnish Cargotec 's Kalmar , the business area providing container handling solutions , has been awarded an order for a further ten E-One rubber-tyred gantry RTG cranes from Saigon Newport Company SNP , in Vietnam ."
neutral,"In beers , Olvi retained its market position ."
positive,The acquisition of Kaupthing Sverige will bring a significant positive non-recurring addition to the group 's performance .
neutral,"F-Secure Internet Security 2010 is a security service for surfing the web , online banking and shopping , e-mail , and other online activities ."
positive,"According to Olvi 's Managing Director Lasse Aho , the company has an ongoing MMX Plus project that aims to find growth outside Finland ."
neutral,Pohjola could increase its stake to 45 % in 2013 .
positive,"After the takeover , Cramo will become the second largest rental services provider in the Latvian market ."
positive,"Both operating profit and net sales for the six-month period increased , respectively from EUR18 .1 m and EUR127 .6 m , as compared to the corresponding period in 2006 ."
neutral,Being successful requires providing a level of quality that satisfies our customers and partners .
neutral,"The total investment necessary will be EUR40m , the company estimated ."
positive,"In the third quarter , net sales increased by 12 % year-on-year to EUR159 .5 m , or by 6 % at comparable currency rates growth ."
negative,Benefon 's target is to lay off temporarily of permanently up to 20 % of the Salo plant 's staff .
neutral,"The building owner and developer , Sun Hung Kai Properties Group , is one of the largest property companies in Hong Kong , developing all types of premium residential and commercial projects for sale and investment ."
positive,"Tieto offers Aktia a good foundation and the required support services for implementing the update project , ' says Juha Volotinen , responsible for Aktia 's web services ."
neutral,Sanoma Magazines International will invite other shareholders holding approximately 15 % of the shares to sell their shares .
neutral,"A Flurry Analytics spokesperson said that , as it was only measuring Windows Phone 7 data for some weeks , the firm double-checked the data to make sure the 66 per cent rise was not an aberration ."
neutral,"The Americas represents 25 % of Gemalto 's billing , and Latin America is one of the fastest growing regions for the company ."
neutral,Price talk is in the Euribor plus 2 bps area and the sole lead is Citigroup .
neutral,"The company said that the operations will be sold to a newly established company , CPS GmbH , where the present management of the plastics business is a co-owner ."
neutral,National sponsors for The Big Read include National Endowment for the Arts in cooperation with the Institute of Museum and Library Services and Arts Midwest .
positive,"MD Henning Bahr of Stockmann Gruppen praises the trend , since the chains become stronger and their decision-making processes more clear ."
positive,: Lietuvos Respublikos sveikatos apsaugos ministerija has awarded contract to UAB `` AFFECTO LIETUVA '' for financial systems software package .
positive,4G allows customers to use mobile broadband services with speeds up to ten times higher than with today 's 3G .
positive,"Sales came in at 241 mln eur , compared with 211.4 mln , and also beating consensus forecasts of 235 mln eur ."
neutral,"`` We have come out with a decision which is based on our preliminary economic , operational and environmental findings , '' Karvinen said ."
neutral,"The total value of the project is estimated to be over 3.0 mln euro $ 4.4 mln , of which the services will be over 2.0 mln euro $ 2.9 mln and third-party licences more than 1.0 mln euro $ 1.5 mln ."
neutral,"Trading under the name Velta UK , a former Uponor brand , the company has been Uponor 's long-term partner in supplying Velta-branded systems particularly for the commercial and industrial building sector in the UK and internationally ."
neutral,"Incap Corporation Stock Exchange Announcement 29 April 2010 at 1 p.m. INVITATION TO A NEWS CONFERENCE ON INCAP 'S INTERIM REPORT Q1-2010 Incap will publish its interim report for January-March 2010 on Wednesday , 5 May 2010 ."
positive,Finnish Bore that is owned by the Rettig family has grown recently through the acquisition of smaller shipping companies .
neutral,"Aug. 31 , 2009 (Gawker Media delivered by Newstex)-- If you love fishing video games but felt that there just was n't enough wackiness involved , then Activision 's (NASDAQ : ATVI) Rapala : We Fish might just catch your eye with its family-fun hook ."
positive,This assignment strengthens Poyry 's position as an international provider of engineering and project services to the chemical process industry .
negative,"It generated an operating loss of EUR 96.3 mn , down from a profit of EUR 43.9 mn ."
neutral,"The Division also includes joint sales , marketing and controlling functions for these units ."
negative,Finnair 's total traffic decreased by 8.7 % in terms of revenue passenger kilometres .
neutral,"Kemira , headquartered in Helsinki , Finland , is an international chemicals group comprising the business areas Kemira Pulp & Paper , Kemira Water , Kemira Specialty and Kemira Coatings ."
neutral,"The transaction is subject to a final agreement between the parties , approvals of their decision-making bodies and approval by the Finnish Competition Authority ."
neutral,- Profit before taxes was EUR 105.9 82.7 million .
neutral,"There have been 15 initial public offerings announced in Sweden this year , compared with two during the same period a year earlier , Bloomberg data shows ."
neutral,"The total scholarship amount was 40,000 euros and the recipients were chosen on the recommendation of fine arts universities and sports associations ."
neutral,"As previously announced , GeoSentric Oyj entered into financing agreements with its lead investor on June 30 , 2010 enabling the Company to receive financing up to the aggregate amount of 6M ."
neutral,"Based on the 2005 calendar year the combined company had EUR15 .8 bn in pro forma annual revenues and is expected to start operations with 60,000 employees ."
neutral,"Cablevision Systems Corp. CVC Their Madison Square Garden division owns and operates the New York Knickerbockers basketball team ; they also own the Madison Square Garden Arena , the New York Rangers hockey team , the New York Liberty women 's basketball team , and the Hartford Wolf Pack hockey team ."
neutral,"The cost of the deal could range from 70 million to 90 million euros depending on the financial results of the two companies in 2008 , the statement says ."
positive,This bold spinning 360 red fabric design is set beautifully on Ercols Napoli sofa .
neutral,"Liquid handling products include electronic and mechanical pipettes , disposable tips as well as pipette maintenance and calibration services for research institutions , healthcare and industrial laboratories ."
neutral,"shock phase ' , consumers have once again started to plan and implement building projects ."
positive,"OUTOTEC OYJ PRESS RELEASE , FEBRUARY 19 , 2008 AT 11.00 AM Outotec has won two large minerals processing technology orders from Mirabela Mineracao do Brasil Ltda , Brazil and from Cumerio Med JSCo , Bulgaria ."
neutral,"The businesses to be divested offer dairy , edible fats , ready-meal and ice-cream packaging to multinational and local customers ."
neutral,Our Canned-preserved food in Finland report offers a comprehensive guide to the size and shape of the market at a national level .
neutral,"The equipment Ixonos acquires with this deal includes mechanical engineering hardware ; an RF and antenna measurement laboratory ; facilities for the measurement of audio , cameras and displays ; as well as devices and robot units for the testing of mobile devices ."
neutral,`` We are selling an information systems development business to the Finns .
neutral,The measures taken will cause one-time costs during the final part of 2006 .
positive,Tekla will implement the renewal in software versions which will be introduced in spring 2011 .
neutral,Gunneflo will be responsible of Oriola-KD 's Pharmaceutical Trade business in Sweden .
negative,"Jul. 18 -- Police are looking for a man who they say terrorized three males at gunpoint on East Maple Avenue this afternoon , shooting one of them and kidnapping another ."
negative,"ADP News - Apr 22 , 2009 - Finnish business information systems developer Solteq Oyj HEL : STQ1V said today its net loss widened to EUR 189,000 USD 245,000 for the first quarter of 2009 from EUR 10,000 for the same peri"
positive,"In recent months , Capman has taken significant steps to simplify its operations , CEO Lennart Simonsen said ."
neutral,It is also in the process of taking a seat on CapMan 's board - a course which has the support of CapMan management .
positive,Finnish Rautaruukki has been awarded a contract to supply and install steel superstructures for the Partihallsf+�rbindelsen bridge in Gothenburg in Sweden .
positive,Production capacity will increase from 36 000 to 85 000 tonnes per year and the raw material will continue to be recycled paper and board .
negative,"Scanfil , a systems supplier and contract manufacturer to the communications sector , will start personnel negotiations in Oulu , in Finland , to lay off staff temporarily ."
positive,HELSINKI AFX - Outokumpu Technology said it has signed a 3.5 mln eur agreement with Mongolia 's Erdenet Mining Corporation for the engineering of the first HydroCopper plant to be built at the Erdenet mine site .
positive,"Ruukki has signed a contract to deliver and install the steel structures for a bridge over the Kyronsalmi strait in Savonlinna , Finland ."
positive,"HELSINKI ( AFX ) - Retail and wholesale group Kesko reported net sales of 659.4 mln eur for February , an increase of 10.8 pct year-on-year ."
positive,"GeoSentric Oyj s GeoSolutions Business Unit GyPSii , the mobile digital lifestyle application and geo-mobility social networking platform , has signed an agreement with Nanjing MyNet to make the GyPSii mobile social networking platform available to customers of China Mobile ."
neutral,Kalmar Espana generated net sales of some 11.3 mln euro $ 14.8 mln in 2005 .
neutral,"The company generates net sales of about 600 mln euro $ 775.5 mln annually and employs 6,000 ."
negative,Sales at the unit slumped last year after the industry was hit by poor snowfall in the major resorts in the winter of 2006-07 .
neutral,Market data and analytics are derived from primary and secondary research .
neutral,"At first , Solteq 's services to companies operating in the St. Petersburg area will include maintenance and material management systems and data collection solutions ."
positive,"Nokia , which has a strong track record in the lower-end handset market , said in July its touch-screen offering would come this year and be cheaper than rival models in order to tap into a higher-volume market ."
neutral,"Remote Phone Management demonstrates SysOpen Digia 's unique end-to-end offering for operators , handset manufacturers and enterprise customers ."
neutral,Incap Contract Manufacturing is a subsidiary of Incap Corporation of Finland .
neutral,The reductions will be concluded by autumn 2010 .
neutral,"SSH Communications Security Corporation is headquartered in Helsinki , Finland ."
positive,"H+_kan Dahlstr+�m , head of mobility services at TeliaSonera , has forecast that mobile data volume on the TeliaSonera network in Sweden will rise eight-fold to 200,000 TB by 2014 ."
neutral,`` We know there are some of our own people out there . ''
neutral,Earnings per share were EUR -0.04 -0.06 .
neutral,"Jeder Beta-Tester erh+�lt kostenlos sechs Monate lang Updates und hat laut eigener Aussage die M+�glichkeit , die finale Version zu beeinflussen ."
neutral,"Auburn 's sales in 2007 were CAD 41 million ( approximately EUR 27 million ) , and the company employs some 150 people ."
neutral,The winner does not have to be present to win .
positive,Finnish business software group AffectoGenimap Oyj said it had signed an agreement to acquire all the shares in Swedish sector company Intellibis Ab for 12 mln euro ( $ 15.8 mln ) on a debt-free basis .
neutral,"YIT acquired investment rights to a 10,000 square metre residential project in Yaroslavl and to a 16,400 square metre project in Moscow ."
neutral,"The 10,000-odd square metre plot that Stockmann has bought for the Nevsky Center shopping center is located on Nevsky Prospect , St Petersburg 's high street , next to the Vosstaniya Square underground station , in the immediate vicinity of Moscow Station ."
positive,"SOUTHFIELD , Mich. -- Central Corporate Credit Union will again distribute patronage dividends to members by waiving all service fees incurred during the months of July and November 2008 , to the tune of an estimated $ 1 million ."
neutral,M2 Communications disclaims all liability for information provided within information on on the world wide web .
positive,Talvivaara has secured a 10-year off-take agreement for 100 per cent of its main output of nickel and cobalt to Norilsk Nickel and entered into a long-term zinc streaming agreement with Nyrstar NV .
neutral,Finnish Rautaruukki 's engineering division Ruukki Engineering will re-organise its operations in the Mo i Rana plant in Norway .
positive,"Finnish construction group Lemminkainen Oyj HEL : LEM1S said today it has won a contract to provide technical services for the Nevsky Centre shopping mall to be opened in November in St Petersburg , Russia ."
neutral,"ADP News - Jan 13 , 2009 - Finnish industrial and environmental measurement equipment maker Vaisala Oyj OMX : VAIAS said yesterday it will develop an operational reference radiosonde for climate change observations ."
neutral,"The Finnish real estate investment company Interavanti Oyj said on Monday ( 22 September ) that it has agreed to sell its 65 % ownership in the Finnish ticket service company Lippupiste Oy to CTS Eventim AG ( 56,1 % ) and to the managing director of Lippupiste Oy ."
negative,The current reference grade instruments are challenging to operate due to their high price and complexity for routine use .
negative,The recent troubles simply make NETeller cheaper .
neutral,From Merisatama to the far corners of the world Asfaltti Osakeyhti+� Lemmink+�inen was established in 1910 by a group of master builders in Helsinki as a specialist business and subcontractor .
neutral,"Finnish property investor Sponda said it has agreed a 100 mln eur , five-year mln credit facility with Swedbank and a 50 mln eur , seven-year facility with OKO Bank ."
neutral,Ulefos Group is the leading supplier of manhole covers in the Nordic countries .
neutral,"RFID ( Radio Frequency Identification ) is a method of so-called intelligent transport , whereby information can be read and saved remotely ."
positive,"According to the CEO of Nordea Bank Estonia Vahur Kraft , Nordea Finland and Stockmann have been cooperating for more than ten years ."
positive,"HELSINKI ( Thomson Financial ) - M-real said it will exercise an option to buy a 50MW natural gas power plant and land in Kyroskoski , Finland , for around 13 mln eur from Kyro Oyj ."
neutral,Cargotec 's business areas also include the container handling solutions business area Kalmar and the marine cargo handling and offshore load handling solutions business area MacGREGOR .
negative,"In the Baltic countries , development of operations and reorganisation continued , and non-recurring items related to the takeover process lowered earnings ."
neutral,"cents The profile contains business operations , the company history , major products and services , prospects , key competitors , structure and key employees , locations and subsidiaries ."
neutral,The agreement with JM is one in a series of contracts that TeliaSonera has signed in recent months with residential construction and real estate management companies in Sweden .
neutral,"The copying , republication or redistribution of AFX News Content , inculding by framing or similar means , is expressly prohibited without the prior written consent of AFX News ."
neutral,Bluewin Security is available as a monthly subscription .
positive,"The subscriptions increase Cargotec 's share capital by 36,780 euros ."
positive,"The two companies will also partner in further developing Raiso 's cholesterol lowering brand , Benecol ."
